               id,               time,              pH, temp,      lat,      lon,water_depth,sensor_depth
SF32_2013_2014_EV,2013-12-12 04:00:01,8.03316386432738,-0.98,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-12 08:00:01,8.01514657037874,-0.98,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-12 12:00:01,8.01947015208336,-0.93,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-12 16:00:01,8.02410354124426, -0.9,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-12 20:00:01,8.02365262612412,-0.94,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-13 00:00:01,8.02575267384098,-0.89,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-13 04:00:01,8.02809910499818,-0.92,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-13 08:00:01,8.04490284158902,-0.78,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-13 12:00:01,8.06888360264775,-0.82,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-13 16:00:01,8.02622639522401,-0.82,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-13 20:00:01,8.02916454480249,-0.85,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-14 00:00:01,8.03503791104125, -0.8,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-14 04:00:01,8.03506501528391,-0.88,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-14 08:00:01,8.03189341203964,-0.79,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-14 12:00:01,8.06177972595071,-0.72,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-14 16:00:01,8.03965208022949,-0.74,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-14 20:00:01,8.03293623690402,-0.74,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-15 00:00:01,8.02906562014979,-0.64,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-15 04:00:01,8.11166052402295,-0.64,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-15 08:00:01,8.08147573234489,-0.59,-77.63422,166.41467,         28,          18
